Rider,Run #,Round,Course,Lap 1 time,Lap 2 time,Lap 3 time,Total Time,# of Crashes,# of Bad Landings,"Rider Interferance 1 = a little, 2 = medium, 3 = cause a crash, 0 = no INT",Overheat?,Place,Notes,Records,Final Place ,1st Place Rider,best lap
NY,3,Platinum,1,80.83,74,,154.83,1,0,3,n,1,"Messy Start, Bad Rider INT, Non Rider INT","3 Best Time, Best Lap",,,74
NY,3,Platinum,2,65.75,63.23,64.33,193.31,0,0,0,n,1,Nearly Clean,2 Best Time,,,63.23
NY,3,Platinum,3,85.35,86.46,,171.81,1,0,0,n,1,Nearly Clean,3 Best Time,,,85.35
NY,3,Platinum,4,72,64.86,63.73,200.59,0,1,2,n,1,"Messy Start, Sloppy Turn",,,,63.73
NY,3,Platinum,5,72.53,68.7,,141.23,0,2,0,n,1,Nearly Clean,"Best Time, Best Lap",1,NY,68.7
VS,3,Bronze,1,24.13,23.95,23.16,71.24,0,0,0,y,1,Sloppy Turn,2 Best Time,,,23.16
VS,3,Bronze,2,69.91,67.01,,136.92,1,1,0,n,1,Sloppy Turn,,,,67.01
VS,3,Bronze,3,41.13,39.73,39.6,120.46,0,0,0,n,1,Nearly Clean,3 Best Time,,,39.6
VS,3,Bronze,4,54.81,55.23,,110.04,0,0,0,n,1,Nearly Clean,,,,54.81
VS,3,Bronze,5,32.85,30.03,29.33,92.21,0,0,1,n,1,"Scrappy, Nearly Clean",,1,VS,29.33
VS,3,Silver,1,37.38,35.26,35.86,108.5,0,0,1,n,2,Nearly Clean,,,,35.26
VS,3,Silver,2,75.95,74.15,,150.1,0,1,0,n,1,Nearly Clean,2 Best Time,,,74.15
VS,3,Silver,3,43.6,40.71,46.45,130.76,1,0,3,n,1,"Bad Non Rider INT, Nearly Clean",,,,40.71
VS,3,Silver,4,62.48,60.3,,122.78,0,1,0,n,1,Clean,"Best Time, Best Lap",,,60.3
VS,3,Silver,5,36.18,41.75,36.8,114.73,1,1,3,n,3,"Sloppy Race, Bad Rider INT",,1,VS,36.18
VS,3,Gold,1,51.56,49.9,52.43,153.89,0,0,0,y,3,Nearly Clean,,,,49.9
VS,3,Gold,2,94.68,90.38,,185.06,1,2,0,n,1,"Messy Start, Sloppy Turn",,,,90.38
VS,3,Gold,3,61.3,57.91,58.78,177.99,0,0,2,n,1,"Messy Start, Clean",Best Time,,,57.91
VS,3,Gold,4,87.8,85.63,,173.43,0,0,0,n,1,Clean,2 Best Time,,,85.63
VS,3,Gold,5,55.85,52.76,49.4,158.01,0,1,1,n,3,Sloppy Race,,1,VS,49.4
VS,3,Platinum,1,91.63,82.76,,174.39,4,0,3,n,1,"Messy Start, Sloppy Turn",,,,82.76
VS,3,Platinum,2,67.55,84.3,68.46,220.31,2,0,3,n,4,"Horrible INT (x2), Sloppy Race",,,,67.55
VS,3,Platinum,3,91.25,90.41,,181.66,1,0,3,n,2,"Nearly Clean, Bad INT (x2)",,,,90.41
VS,3,Platinum,4,67.83,65.71,63.3,196.84,1,0,1,n,2,"Non Rider INT, Nearly Clean",3 Best Time,,,63.3
VS,3,Platinum,5,77.41,70.51,,147.92,0,0,0,y,1,Nearly Clean,,1,VS,70.51
JR,3,Bronze,1,24.83,23.53,23.26,71.62,0,0,0,n,1,Clean,,,,23.26
JR,3,Bronze,2,75.78,72.75,,148.53,1,1,0,y,1,Sloppy Turn,,,,72.75
JR,3,Bronze,3,41.13,39.55,39.8,120.48,0,0,0,n,1,Nearly Clean,,,,39.55
JR,3,Bronze,4,56.51,54.35,,110.86,0,0,2,y,1,"Nearly Clean, OVertake at end, Recorded",,,,54.35
JR,3,Bronze,5,30.46,29.41,29.91,89.78,0,0,0,n,1,Clean,2 Best Time,1,JR,29.41
JR,3,Silver,1,35.5,35.03,34.23,104.76,0,0,0,n,1,Clean,"2 Best Time, Best Lap",,,34.23
JR,3,Silver,2,76.01,72.85,,148.86,0,2,0,n,1,Nearly Clean,"2 Best Time, Best Lap",,,72.85
JR,3,Silver,3,45.1,40.17,42.18,127.45,0,0,1,n,1,"Nearly Clean, Non Rider INT",,,,40.17
JR,3,Silver,4,75.23,59.51,,134.74,2,0,3,n,1,"Sloppy Turn, Bad INT, Flawless Second Lap",Best Lap,,,59.51
JR,3,Silver,5,37.61,37.31,34.71,109.63,0,0,2,n,3,"Nearly Clean, RIder INT",,1,JR,34.71
JR,3,Gold,1,49.31,49.15,46.36,144.82,0,0,1,n,1,"Messy Start, Clean",,,,46.36
JR,3,Gold,2,96.08,87.88,,183.96,1,0,3,n,1,"Nearly Clean, Bad INT, FUck Vicky Steele",,,,87.88
JR,3,Gold,3,63.4,57.25,57.2,177.85,0,1,1,n,1,"Messy Start, Clean","Best Time, Best Lap",,,57.2
JR,3,Gold,4,84.71,84.78,,169.49,0,0,0,n,1,Clean,"Best Time, Best Lap",,,84.71
JR,3,Gold,5,47.76,48.15,47.56,143.47,0,0,0,n,1,Clean,,1,JR,47.56
JR,3,Platinum,1,80.36,74.88,,155.24,1,0,3,n,1,"Messy Start, Nealy Clean",,,,74.88
JR,3,Platinum,2,67.15,64.6,63.58,195.33,0,0,0,n,1,Clean,3 Best Time,,,63.58
JR,3,Platinum,3,84.63,83.75,,168.38,0,0,0,n,1,Clean,Best Time,,,83.75
JR,3,Platinum,4,64.91,69.58,62.43,196.92,1,0,3,n,1,"Bad Non Rider INT, Nearly Clean",,,,62.43
JR,3,Platinum,5,71.51,71.66,,143.17,0,0,0,y,1,Nearly Clean,2 Best Time,1,JR,71.51
TR,3,Bronze,1,24.6,23.36,23.18,71.14,0,0,0,n,1,Clean,2 Best Time,,,23.18
TR,3,Bronze,2,67.11,65.56,,132.67,0,0,0,n,1,Clean,,,,65.56
TR,3,Bronze,3,40.56,39.16,39.68,119.4,0,0,0,n,1,Nearly Clean,Best Time,,,39.16
TR,3,Bronze,4,62.55,53.93,,116.48,1,0,0,n,1,Sloppy Turn,,,,53.93
