Swimmer,Gender,Meet,Race.Date,Distance,Discipline,Session,Source_File,Unique.ID,Swimmer,
Santo Condorelli,M,NCAA,2018-03-24,100,Free,Finals,H:/CaseStudy/casestudycsv\Santo Condorelli_100 Free_vs_NCAA_March 2018.csv,SanConM100FreeF20180324,Santo,Condorelli
Tate Jackson,M,NCAA,2018-03-24,100,Free,Finals,H:/CaseStudy/casestudycsv\Tate Jackson_100 Free_vs_NCAA_March 2018.csv,TatJacM100FreeF20180324,Tate,Jackson
Ryan Hoffer,M,NCAA,2021-03-27,100,Free,Finals,H:/CaseStudy/casestudycsv\Ryan Hoffer_100 Free_vs_NCAA_March 2021.csv,RyaHofM100FreeF20210327,Ryan,Hoffer
Daniel Krueger,M,NCAA,2021-03-27,100,Free,Finals,H:/CaseStudy/casestudycsv\Daniel Krueger_100 Free_vs_NCAA_March 2021.csv,DanKruM100FreeF20210327,Daniel,Krueger
Drew Kibler,M,NCAA,2021-03-27,100,Free,Finals,H:/CaseStudy/casestudycsv\Drew Kibler_100 Free_vs_NCAA_March 2021.csv,DreKibM100FreeF20210327,Drew,Kibler
Matt King,M,NCAA,2022-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Matt King_100 Free_vs_NCAA_March 2022.csv,MatKinM100FreeF20220326,Matt,King
Andrei Minakov,M,NCAA,2022-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Andrei Minakov_100 Free_vs_NCAA_March 2022.csv,AndMinM100FreeF20220326,Andrei,Minakov
Bjorn Seeliger,M,NCAA,2022-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Bjorn Seeliger_100 Free_vs_NCAA_March 2022.csv,BjoSeeM100FreeF20220326,Bjorn,Seeliger
Brooks Curry,M,NCAA,2022-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Brooks Curry_100 Free_vs_NCAA_March 2022.csv,BroCurM100FreeF20220326,Brooks,Curry
Danny Krueger,M,NCAA,2022-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Danny Krueger_100 Free_vs_NCAA_March 2022.csv,DanKruM100FreeF20220326,Danny,Krueger
Drew Kibler,M,NCAA,2022-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Drew Kibler_100 Free_vs_NCAA_March 2022.csv,DreKibM100FreeF20220326,Drew,Kibler
Jordan Crooks,M,NCAA,2022-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Jordan Crooks_100 Free_vs_NCAA_March 2022.csv,JorCroM100FreeF20220326,Jordan,Crooks
Matt Brownstead,M,NCAA,2022-03-26,100,Free,Finals,H:/CaseStudy/casestudycsv\Matt Brownstead_100 Free_vs_NCAA_March 2022.csv,MatBroM100FreeF20220326,Matt,Brownstead
Youssef Ramadan,M,NCAA,2023-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Youssef Ramadan_100 Free_vs_NCAA_March 2023.csv,YouRamM100FreeF20230325,Youssef,Ramadan
Bjorn Seeliger,M,NCAA,2023-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Bjorn Seeliger_100 Free_vs_NCAA_March 2023.csv,BjoSeeM100FreeF20230325,Bjorn,Seeliger
Brooks Curry,M,NCAA,2023-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Brooks Curry_100 Free_vs_NCAA_March 2023.csv,BroCurM100FreeF20230325,Brooks,Curry
Jack Alexy,M,NCAA,2023-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Jack Alexy_100 Free_vs_NCAA_March 2023.csv,JacAleM100FreeF20230325,Jack,Alexy
Jordan Crooks,M,NCAA,2023-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Jordan Crooks_100 Free_vs_NCAA_March 2023.csv,JorCroM100FreeF20230325,Jordan,Crooks
Josh Liendo,M,NCAA,2023-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Josh Liendo_100 Free_vs_NCAA_March 2023.csv,JosLieM100FreeF20230325,Josh,Liendo
Ruslan Gaziev,M,NCAA,2023-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Ruslan Gaziev_100 Free_vs_NCAA_March 2023.csv,RusGazM100FreeF20230325,Ruslan,Gaziev
Van Mathias,M,NCAA,2023-03-25,100,Free,Finals,H:/CaseStudy/casestudycsv\Van Mathias_100 Free_vs_NCAA_March 2023.csv,VanMatM100FreeF20230325,Van,Mathias
Matt Brownstead,M,NCAA,2024-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Matt Brownstead_100 Free_vs_NCAA_March 2024.csv,MatBroM100FreeF20240330,Matt,Brownstead
Bjorn Seeliger,M,NCAA,2024-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Bjorn Seeliger_100 Free_vs_NCAA_March 2024.csv,BjoSeeM100FreeF20240330,Bjorn,Seeliger
Chris Guiliano,M,NCAA,2024-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Chris Guiliano_100 Free_vs_NCAA_March 2024.csv,ChrGuiM100FreeF20240330,Chris,Guiliano
Guilherme Santos,M,NCAA,2024-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Guilherme Santos_100 Free_vs_NCAA_March 2024.csv,GuiSanM100FreeF20240330,Guilherme,Santos
Jack Alexy,M,NCAA,2024-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Jack Alexy_100 Free_vs_NCAA_March 2024.csv,JacAleM100FreeF20240330,Jack,Alexy
Jack Dolan,M,NCAA,2024-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Jack Dolan_100 Free_vs_NCAA_March 2024.csv,JacDolM100FreeF20240330,Jack,Dolan
Jordan Crooks,M,NCAA,2024-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Jordan Crooks_100 Free_vs_NCAA_March 2024.csv,JorCroM100FreeF20240330,Jordan,Crooks
Josh Liendo,M,NCAA,2024-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Josh Liendo_100 Free_vs_NCAA_March 2024.csv,JosLieM100FreeF20240330,Josh,Liendo
Zach Apple,M,NCAA,2019-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Zach Apple_100 Free_vs_NCAA_March 2019.csv,ZacAppM100FreeF20190330,Zach,Apple
Bowe Becker,M,NCAA,2019-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Bowe Becker_100 Free_vs_NCAA_March 2019.csv,BowBecM100FreeF20190330,Bowe,Becker
Daniel Krueger,M,NCAA,2019-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Daniel Krueger_100 Free_vs_NCAA_March 2019.csv,DanKruM100FreeF20190330,Daniel,Krueger
Dean Farris,M,NCAA,2019-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Dean Farris_100 Free_vs_NCAA_March 2019.csv,DeaFarM100FreeF20190330,Dean,Farris
Justin Ress,M,NCAA,2019-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Justin Ress_100 Free_vs_NCAA_March 2019.csv,JusResM100FreeF20190330,Justin,Ress
Pawel Sendyk,M,NCAA,2019-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Pawel Sendyk_100 Free_vs_NCAA_March 2019.csv,PawSenM100FreeF20190330,Pawel,Sendyk
Robert Howard,M,NCAA,2019-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Robert Howard_100 Free_vs_NCAA_March 2019.csv,RobHowM100FreeF20190330,Robert,Howard
Ryan Hoffer,M,NCAA,2019-03-30,100,Free,Finals,H:/CaseStudy/casestudycsv\Ryan Hoffer_100 Free_vs_NCAA_March 2019.csv,RyaHofM100FreeF20190330,Ryan,Hoffer
